# Index   NLSS   f_NLSS   dNN    kLSS    QQLSS   Qt      Qratio   sigma           rh                Mvir_rh            Mvirl           rp                v_mean      d_mean          rs              
  111     28     1        1.08   -0.93   -5.87   -2.63   1.0      30.8007000462   0.175334081748    5.46525659334E11   373.464927725   0.194773136334    59.9584     0.856548571     0.73180397492   
  112     18     1        1.0    -1.13   -4.52   -1.77   1.0      38.7287741702   0.21055112349     1.03764334288E12   518.126406483   0.24276676033     77.94592    1.1135131425    0.897548282045  
  113     13     1        1.42   -1.26   -4.4    -2.23   0.99     43.8102242699   0.321152458119    2.02528078417E12   554.988083822   0.33138394945     92.93552    1.327650286     1.01820293512   
  114     19     1        1.54   -1.18   -4.74   -1.84   1.0      70.4776922942   0.295715873227    4.82615233628E12   1568.23419494   0.36792351383     79.44488    1.134926857     1.62318581416   
  115     34     1        1.69   -1.4    -4.29   -0.61   1.0      43.8102242699   0.153782797578    9.69799037795E11   642.177208239   0.177605284702    46.46776    0.663825143     0.963762124518  
  116     24     1        1.15   -1.22   -4.43   -0.83   1.0      42.1371019572   0.141175537963    8.23591425163E11   396.594988656   0.256138352898    49.46568    0.7066525715    1.02443302068   
  117     8      1        1.19   -1.68   -4.89   -2.32   1.0      21.3393509564   0.380738855448    5.69655967262E11   166.792298822   0.422444903598    23.98336    0.3426194285    0.556050666689  
  118     30     1        1.09   -0.67   -4.32   -1.36   1.0      15.737097124    0.143295623073    1.16601789159E11   59.9861113714   0.212191112276    17.98752    0.2569645715    0.355288445124  
  119     30     1        1.52   -1.46   -6.75   -3.71   1.0      73.6510029659   0.229821717176    4.09610833905E12   1600.33515915   0.247073830598    80.94384    1.1563405714    1.57116686126   
  120     51     1        1.0    -0.69   -4.18   -0.64   1.0      55.6749250447   0.13400438303     1.36477583589E12   642.793423231   0.277943597885    65.95424    0.942203429     1.32328633122   
  121     33     1        1.31   -1.15   -4.55   -2.41   0.99     48.2158994425   0.309626167991    2.36505498558E12   713.849377336   0.328491524271    71.95008    1.027858286     1.11826842265   
  122     70     1        1.16   -0.61   -4.57   -1.65   1.0      43.81022427     0.205857566162    1.29819767056E12   585.490362484   0.242404096405    46.46776    0.663825143     1.01585964729   
  123     6      1        1.11   -1.88   -5.4    -2.59   1.0      35.3025500488   0.175833237452    7.20006083872E11   309.149871855   0.197445814436    71.95008    1.0278582855    0.86280173293   
  124     2      1        3.31   -2.68   -7.35   -0.89   1.0      21.9392766145   0.114705463849    1.81406043772E11   144.509558459   0.166304349798    46.46776    0.6638251435    0.468623029087  
  125     52     1        1.02   -1.23   -6.0    -0.97   1.0      47.0417709268   0.0489780212789   3.56116092952E11   615.279572873   0.054141774235    92.93552    1.3276502857    1.08832449175   
  126     51     1        1.46   -0.93   -5.16   -2.05   1.0      50.1846992521   0.192493438958    1.59287472804E12   694.00253573    0.293564702196    53.96256    0.7708937143    1.05065842717   
  127     4      1        2.42   -2.12   -6.09   -1.59   1.0      30.5729051607   0.133734142766    4.10713289229E11   282.59476771    0.156515674605    35.97504    0.513929143     0.725773369962  
  128     8      1        2.17   -1.39   -5.35   -1.19   1.0      31.8526550716   0.188530479338    6.28486405397E11   269.187583233   0.285319531519    59.9584     0.8565485715    0.838583326166  
  129     26     1        1.16   -1.2    -4.3    -0.78   1.0      26.9257057318   0.145436041189    3.46440992052E11   253.666616023   0.180615465235    49.46568    0.706652572     0.634724531409  
  130     24     1        1.45   -0.98   -4.78   -0.34   1.0      62.4546680214   0.0846088335712   1.08434768132E12   654.669708516   0.216718841279    116.91888   1.6702697145    1.45658878413   
  131     35     1        1.08   -0.95   -4.3    -0.77   1.0      24.7618432638   0.128528458542    2.58933521933E11   178.297022367   0.157131353285    26.98128    0.3854468575    0.531337703364  
  132     4      1        1.58   -1.75   -6.76   -3.04   1.0      66.6021213024   0.0649345668173   9.46400825045E11   531.930977982   0.128147063809    73.44904    1.049272        1.43010883778   
  133     7      1        2.27   -1.93   -4.79   1.62    1.0      62.6143580496   0.0446246147124   5.74837885322E11   731.1514898     0.10479141665     70.45112    1.0064445715    1.35695539337   
  134     34     1        1.37   -0.87   -6.3    -3.78   1.0      58.7639904107   0.211004129838    2.39406839174E12   1157.13964896   0.211929370678    92.93552    1.3276502855    1.35893172045   
  135     15     1        1.58   -1.41   -5.26   -2.93   1.0      72.9836014739   0.369827593804    6.47251300282E12   2052.07113523   0.401848470853    86.93968    1.2419954285    1.69921402437   
  136     3      1        1.16   -2.15   -5.79   -2.44   1.0      53.0103694825   0.166411796208    1.53648671562E12   756.891143835   0.182547679726    64.45528    0.920789714     1.2606633976    
  137     3      1        2.26   -2.11   -5.6    -1.87   1.0      40.8861776731   0.272858964473    1.49869855512E12   632.788417534   0.314076553267    49.46568    0.7066525715    0.991971015663  
  138     12     1        1.23   -1.8    -4.94   -2.41   1.0      58.8149492218   0.255871072873    2.90816927539E12   965.498096342   0.269080955106    104.9272    1.4989600005    1.42005169786   
  139     28     1        1.16   -0.67   -4.78   -2.4    1.0      34.2982080133   0.188038847788    7.26797592685E11   352.610912977   0.236397456327    50.96464    0.728066286     0.844254456624  
  140     18     1        1.04   -0.73   -3.73   -0.34   1.0      26.1734421958   0.102083482163    2.29773637663E11   253.831490217   0.114946959971    31.47816    0.449688        0.611884879303  
  141     37     1        1.02   -1.19   -4.83   -2.27   1.0      59.3557877208   0.214694147477    2.48524604085E12   1095.89795631   0.242683800057    62.95632    0.899376        1.24960967595   
  142     13     1        1.66   -1.59   -4.61   0.01    1.0      25.9435099924   0.0460802561662   1.01904975671E11   145.035152059   0.0562458315238   31.47816    0.449688        0.602632939953  
  143     16     1        1.07   -1.29   -4.86   0.96    1.0      18.5343775739   0.0373699190981   4.2179478762E10    19.9228333698   0.278103603426    38.97296    0.5567565715    0.400168324098  
  144     5      1        1.07   -1.86   -5.37   -0.03   1.0      31.9465697371   0.0865657346462   2.90280273232E11   302.252065882   0.127751140728    37.474      0.535342857     0.715749379227  
  145     11     1        1.42   -2.05   -5.69   -1.53   1.0      65.7267324576   0.157464396206    2.23506159255E12   1168.55536436   0.169705314827    139.40328   1.991475429     1.3811698866    
  146     25     1        1.06   -0.82   -4.53   -2.37   0.99     56.2992028876   0.188569165221    1.96380431183E12   1167.61856567   0.221013187455    103.42824   1.4775462855    1.33257032058   
  147     14     1        1.14   -0.97   -4.48   -2.64   0.99     19.7852625732   0.424317565587    5.45754953312E11   151.7592532     0.460825429908    32.97712    0.471101715     0.594789509521  
  148     10     1        1.35   -1.5    -5.13   -2.42   1.0      44.5336618155   0.340753441173    2.2204454223E12    731.370296483   0.401499595656    47.96672    0.685238857     0.985793867808  
  149     29     1        1.36   -0.65   -5.82   -3.37   1.0      47.3591240033   0.309850294134    2.28340145272E12   686.648322649   0.321728787237    50.96464    0.72806628575   1.13113746659   
  150     39     1        1.04   -0.7    -4.44   -2.06   1.0      60.1745269173   0.224772364592    2.67418422427E12   984.169459463   0.253894704345    86.93968    1.2419954285    1.41382106455   
  151     10     1        2.81   -1.78   -4.82   0.58    1.0      63.7836395827   0.12233611339     1.63529576442E12   702.457854211   0.302091421712    77.94592    1.113513143     1.4856438061    
  152     43     1        1.02   -0.53   -5.21   -2.41   1.0      43.028246667    0.114630932963    6.9732007023E11    336.41928242    0.243496440436    89.9376     1.2848228572    0.944420175799  
  153     39     1        1.12   -0.57   -4.49   -1.95   1.0      33.9470225739   0.29179278883     1.10484402682E12   358.293872193   0.344099363093    40.47192    0.5781702855    0.905554039713  
  154     13     1        1.72   -1.41   -6.65   -2.88   1.0      22.2107006675   0.225415550383    3.65368775749E11   151.322617889   0.244404779555    43.46984    0.6209977142    0.615137788594  
  155     10     1        2.19   -1.65   -6.83   -2.31   1.0      21.3393509553   0.170838624709    2.55606278692E11   124.094491037   0.19863165992     23.98336    0.3426194285    0.575477831694  
  156     16     1        1.17   -0.4    -5.75   -3.53   0.99     56.7409106068   0.193049479487    2.04213418998E12   1226.47400886   0.220831588389    119.9168    1.713097143     1.23769850088   
  157     17     1        1.0    -1.24   -4.69   -2.59   0.99     25.7115216364   0.230936560074    5.01615895511E11   161.550687555   0.258106371279    31.47816    0.449688        0.691561754519  
  158     37     1        1.0    -0.8    -4.27   -1.47   1.0      45.4876667096   0.187374451783    1.27385716629E12   575.534816642   0.277299616998    50.96464    0.728066286     1.07185244872   
  159     12     1        1.27   -1.31   -5.12   -2.54   1.0      7.4781263419    0.257535287715    4.73200701971E10   17.9519205169   0.312061356151    11.99168    0.171309714     0.234777389197  
