#Index SIT RA DEC z sigma rh_rp rh_rs Mvir_rh R Mvir_rp Mvirl LS rp
107 1 212.22458 10.19897 0.06723 122.422204363 0.238014572369 2.57202922256 1.17205226043e+13 0.207016787016 1.01941024348e+13 192.685335237 60827268405.8 0.279518815821
108 1 211.27304 11.47541 0.06743 65.0547872478 0.33341506109 1.37298447135 4.63624923503e+12 0.210079589804 2.92122777641e+12 64.6309621192 71734182549.9 0.349794113378
109 1 212.1374 11.81623 0.01904 49.5236865276 0.162573470512 0.544866449626 1.31008250685e+12 0.110865416203 8.93398178219e+11 58.1125384998 22543887096.9 0.176668346002
110 1 134.20677 35.91655 0.0757 41.7083356681 0.466559029092 0.692570948386 2.66670734791e+12 0.362149463415 2.0699345097e+12 30.194676933 88317134633.7 0.509253007677
111 1 221.9547 47.80958 0.03678 30.8007000462 0.175334081748 0.646310548111 5.46525659334e+11 0.0755470017235 2.35484022935e+11 22.8845338495 23881878605.3 0.194773136334
112 1 232.64691 33.63157 0.06453 38.7287741702 0.21055112349 0.735817902775 1.03764334288e+12 0.163881763918 8.07646231139e+11 14.7751139728 70229126136.9 0.24276676033
113 1 191.32552 42.41043 0.05332 43.8102242699 0.321152458119 0.657225200752 2.02528078417e+12 0.132152632451 8.33392926984e+11 19.8475584622 1.02041809728e+11 0.33138394945
114 1 145.81416 35.16052 0.05017 70.4776922942 0.295715873227 1.07580070307 4.82615233628e+12 0.222229711763 3.62684096362e+12 63.5540508739 75937761164.1 0.36792351383
115 1 147.83017 36.17762 0.05222 43.8102242699 0.153782797578 0.470293905018 9.69799037795e+11 0.102447040143 6.46060824228e+11 12.749339474 76066610334.9 0.177605284702
116 1 172.80602 40.65314 0.04472 42.1371019572 0.141175537963 0.829944280985 8.23591425163e+11 0.175552155702 1.02413812046e+12 17.3934716656 47350606077.7 0.256138352898
117 1 174.93115 42.50458 0.07005 21.3393509564 0.380738855448 0.462732339155 5.69655967262e+11 0.292131222562 4.3708250885e+11 6.43005287815 88592734470.0 0.422444903598
118 1 172.82837 42.81292 0.04524 15.737097124 0.143295623073 0.228535965428 1.16601789159e+11 0.123905358319 1.00823641062e+11 4.15832026272 28040598557.2 0.212191112276
119 1 215.62823 11.30488 0.01643 73.6510029659 0.229821717176 0.60446005799 4.09610833905e+12 0.114657590359 2.04354017442e+12 308.28690964 13286676180.4 0.247073830598
120 1 238.34676 26.10534 0.06947 55.6749250447 0.13400438303 1.06797810503 1.36477583589e+12 0.183275668844 1.86658226015e+12 18.5117675159 73724771809.1 0.277943597885
121 1 157.06659 38.93473 0.05492 48.2158994425 0.309626167991 0.863542687391 2.36505498558e+12 0.161427200459 1.23304889807e+12 53.7795820838 43976819713.8 0.328491524271
122 1 186.37186 47.2732 0.02487 43.81022427 0.205857566162 0.650834809638 1.29819767056e+12 0.158372222309 9.98741284651e+11 31.3784508352 41372267782.8 0.242404096405
123 1 202.36461 55.72117 0.04282 35.3025500488 0.175833237452 0.724890345693 7.20006083872e+11 0.145539352612 5.95957970413e+11 19.5450132715 36838352262.6 0.197445814436
124 1 164.4029 44.07137 0.03431 21.9392766145 0.114705463849 0.179505356539 1.81406043772e+11 0.123924313744 1.95985602859e+11 4.67760115211 38781853748.0 0.166304349798
125 1 209.305 12.02133 0.02074 47.0417709268 0.0489780212789 0.926654252657 3.56116092952e+11 0.0394657323917 2.86952842475e+11 6.14085309508 57991306327.9 0.054141774235
126 1 211.0956 11.7358 0.02001 50.1846992521 0.192493438958 0.277431397012 1.59287472804e+12 0.210827037726 1.74458445025e+12 102.698115659 15510262460.2 0.293564702196
127 1 187.74106 10.80347 0.04883 30.5729051607 0.133734142766 0.573352603898 4.10713289229e+11 0.103748456209 3.18623717332e+11 12.1919400715 33687279204.3 0.156515674605
128 1 197.65103 39.78399 0.04742 31.8526550716 0.188530479338 0.780886146177 6.28486405397e+11 0.186580146976 6.21984765026e+11 9.20555956996 68272482581.9 0.285319531519
129 1 229.6298 32.39286 0.06126 26.9257057318 0.145436041189 0.573365629825 3.46440992052e+11 0.134349849145 3.20032741812e+11 4.46146028622 77651927805.3 0.180615465235
130 1 190.30916 12.98896 0.04653 62.4546680214 0.0846088335712 1.3074533178 1.08434768132e+12 0.159445475307 2.04345485156e+12 29.3828531302 36904097655.7 0.216718841279
131 1 157.43596 40.49384 0.04391 24.7618432638 0.128528458542 0.212710233956 2.58933521933e+11 0.0904710926157 1.82263126079e+11 4.18307335619 61900306278.4 0.157131353285
132 1 210.0186 58.37032 0.02629 66.6021213024 0.0649345668173 0.598505612397 9.46400825045e+11 0.089603875407 1.30594821478e+12 65.8843816165 14364570203.5 0.128147063809
133 1 247.48581 39.94374 0.05941 62.6143580496 0.0446246147124 0.668096866618 5.74837885322e+11 0.0693009767884 8.92709711994e+11 5.68681810459 1.01082516576e+11 0.10479141665
134 1 150.7656 12.94995 0.03565 58.7639904107 0.211004129838 1.1079216173 2.39406839174e+12 0.110998683112 1.25939923056e+12 62.7236127395 38168534738.0 0.211929370678
135 1 148.65512 6.6221 0.04099 72.9836014739 0.369827593804 1.36144751118 6.47251300282e+12 0.168711411304 2.95269152892e+12 113.738595786 56906918518.7 0.401848470853
136 1 205.25955 13.163 0.05564 53.0103694825 0.166411796208 1.11135437943 1.53648671562e+12 0.133868031875 1.23600884859e+12 41.2473384772 37250566275.3 0.182547679726
137 1 202.65474 14.6492 0.06661 40.8861776731 0.272858964473 0.869613619894 1.49869855512e+12 0.144077528171 7.9135674986e+11 21.5703295575 69479631783.9 0.314076553267
138 1 204.54001 14.92005 0.05948 58.8149492218 0.255871072873 1.28796024579 2.90816927539e+12 0.176514700064 2.00622376582e+12 40.9985254688 70933509001.7 0.269080955106
139 1 208.41905 56.13449 0.0354 34.2982080133 0.188038847788 0.70209993124 7.26797592685e+11 0.152387307305 5.88999185051e+11 46.7838894095 15535210985.2 0.236397456327
140 1 154.21725 39.55647 0.06425 26.1734421958 0.102083482163 0.510952876284 2.29773637663e+11 0.0554872699198 1.24892995255e+11 2.74642097134 83662934437.5 0.114946959971
141 1 225.50676 9.40787 0.04586 59.3557877208 0.214694147477 0.364635163427 2.48524604085e+12 0.137248560247 1.58875518953e+12 81.218691928 30599434463.4 0.242683800057
142 1 187.58798 7.48769 0.06675 25.9435099924 0.0460802561662 0.519294474456 1.01904975671e+11 0.0141064872583 31196034060.2 1.25724182462 81054395165.0 0.0562458315238
143 1 163.7645 42.86023 0.05916 18.5343775739 0.0373699190981 0.198019001653 42179478762.0 0.205441147538 2.31881704016e+11 0.840566525426 50179822162.9 0.278103603426
144 1 214.97707 51.89455 0.0292 31.9465697371 0.0865657346462 0.500374636145 2.90280273232e+11 0.0955875748873 3.20533147085e+11 8.42874183561 34439336130.3 0.127751140728
145 1 346.95392 0.94052 0.04185 65.7267324576 0.157464396206 0.391819371356 2.23506159255e+12 0.0632909034547 8.98355887916e+11 20.3109859943 1.10042003533e+11 0.169705314827
146 1 170.7555 47.05242 0.02524 56.2992028876 0.188569165221 1.2054470511 1.96380431183e+12 0.107041037383 1.11475092181e+12 62.7579353623 31291729093.6 0.221013187455
147 1 227.50713 10.80546 0.04733 19.7852625732 0.424317565587 0.565096316593 5.45754953312e+11 0.182196191883 2.34339754607e+11 15.2912742014 35690613229.7 0.460825429908
148 1 208.94873 14.4225 0.0517 44.5336618155 0.340753441173 0.505361255378 2.2204454223e+12 0.298648682193 1.94607895072e+12 41.0985223645 54027378468.9 0.401499595656
149 1 136.70746 26.27546 0.02061 47.3591240033 0.309850294134 0.792533774847 2.28340145272e+12 0.204497364995 1.5070167405e+12 106.288393723 21483074235.5 0.321728787237
150 1 222.77779 37.4948 0.0316 60.1745269173 0.224772364592 1.08227823353 2.67418422427e+12 0.190241198033 2.26335658083e+12 64.9450830343 41176084459.8 0.253894704345
151 1 223.66243 12.24528 0.07721 63.7836395827 0.12233611339 1.32317035801 1.63529576442e+12 0.220340850967 2.94534827312e+12 13.6317940705 1.19961888799e+11 0.302091421712
152 1 216.09656 13.79844 0.01682 43.028246667 0.114630932963 0.556367091684 6.9732007023e+11 0.157967579146 9.60944489741e+11 161.34754148 4321851227.69 0.243496440436
153 1 47.02944 0.45622 0.07414 33.9470225739 0.29179278883 0.813313410897 1.10484402682e+12 0.218935958785 8.28978972684e+11 15.1903146629 72733452291.3 0.344099363093
154 1 133.705 57.67017 0.01423 22.2107006675 0.225415550383 0.574023217486 3.65368775749e+11 0.160881658464 2.60767877343e+11 31.1586471324 11726079575.8 0.244404779555
155 1 163.02222 41.39001 0.03607 21.3393509553 0.170838624709 0.494887448397 2.55606278692e+11 0.148944743073 2.22848969737e+11 6.04963595209 42251514093.8 0.19863165992
156 1 197.29605 52.02091 0.02578 56.7409106068 0.193049479487 0.605651488083 2.04213418998e+12 0.0997880445657 1.05558729347e+12 252.183687624 8097804458.4 0.220831588389
